"No.","Time","Source","Destination","Protocol","Length","Info"
"100","9.970555574","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=1/256, ttl=64 (reply in 102)"
"102","9.971911589","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=1/256, ttl=128 (request in 100)"
"120","10.972469079","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=2/512, ttl=64 (reply in 121)"
"121","10.973431296","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=2/512, ttl=128 (request in 120)"
"133","11.973890424","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=3/768, ttl=64 (reply in 134)"
"134","11.974790219","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=3/768, ttl=128 (request in 133)"
"135","11.975295360","192.168.126.128","10.136.28.34","UDP","42","80  >  110 Len=0"
"184","18.975469021","192.168.126.128","10.136.28.34","UDP","42","80  >  111 Len=0"
"216","25.975607503","192.168.126.128","10.136.28.34","UDP","42","80  >  112 Len=0"
