"No.","Time","Source","Destination","Protocol","Length","Info"
"747","6.175815080","192.168.126.128","10.136.28.34","UDP","42","50005  >  21282 Len=0"
"748","6.175842242","192.168.126.128","10.136.28.34","UDP","42","50005  >  17663 Len=0"
"749","6.175869514","192.168.126.128","10.136.28.34","UDP","42","50005  >  32931 Len=0"
"750","6.175898900","192.168.126.128","10.136.28.34","UDP","42","50005  >  1056 Len=0"
"751","6.178725901","192.168.126.128","10.136.28.34","UDP","42","50006  >  19647 Len=0"
"752","6.178795143","192.168.126.128","10.136.28.34","UDP","42","50006  >  24606 Len=0"
"753","6.178823457","192.168.126.128","10.136.28.34","UDP","42","50006  >  62699 Len=0"
"754","6.178849838","192.168.126.128","10.136.28.34","UDP","42","50006  >  51554 Len=0"
"755","6.181631221","192.168.126.128","10.136.28.34","UDP","42","50006  >  16939 Len=0"
"756","6.181703920","192.168.126.128","10.136.28.34","UDP","42","50006  >  8010 Len=0"
"757","6.181733556","192.168.126.128","10.136.28.34","UDP","42","50006  >  37 Len=0"
"758","6.181785636","192.168.126.128","10.136.28.34","UDP","42","50005  >  18818 Len=0"
"759","6.181813499","192.168.126.128","10.136.28.34","UDP","42","50005  >  88 Len=0"
"760","6.184333514","192.168.126.128","10.136.28.34","UDP","42","50006  >  16498 Len=0"
"761","6.184419619","192.168.126.128","10.136.28.34","UDP","42","50006  >  9370 Len=0"
"762","6.184454104","192.168.126.128","10.136.28.34","UDP","42","50006  >  9950 Len=0"
"763","6.184483931","192.168.126.128","10.136.28.34","UDP","42","50006  >  20449 Len=0"
"764","6.184515552","192.168.126.128","10.136.28.34","UDP","42","50006  >  49177 Len=0"
"765","6.184549707","192.168.126.128","10.136.28.34","UDP","42","50006  >  25003 Len=0"
"766","6.184586367","192.168.126.128","10.136.28.34","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"767","6.184625421","192.168.126.128","10.136.28.34","UDP","42","50006  >  16947 Len=0"
"768","6.184664205","192.168.126.128","10.136.28.34","UDP","42","50006  >  17946 Len=0"
"769","6.184701166","192.168.126.128","10.136.28.34","UDP","42","50006  >  49157 Len=0"
"770","6.184737254","192.168.126.128","10.136.28.34","UDP","42","50006  >  26407 Len=0"
"771","6.184771880","192.168.126.128","10.136.28.34","UDP","42","50006  >  1048 Len=0"
"772","6.184829611","192.168.126.128","10.136.28.34","UDP","42","50005  >  1042 Len=0"
"773","6.187330655","192.168.126.128","10.136.28.34","UDP","42","50006  >  16972 Len=0"
"774","6.187399527","192.168.126.128","10.136.28.34","UDP","42","50006  >  35702 Len=0"
