"No.","Time","Source","Destination","Protocol","Length","Info"
"247","7.015759037","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=1/256, ttl=64 (reply in 248)"
"248","7.016848241","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=1/256, ttl=128 (request in 247)"
"262","8.017527666","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=2/512, ttl=64 (reply in 263)"
"263","8.018818656","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=2/512, ttl=128 (request in 262)"
"271","9.019456738","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=3/768, ttl=64 (reply in 272)"
"272","9.020916284","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=3/768, ttl=128 (request in 271)"
"273","9.021649097","192.168.126.128","10.136.28.34","TCP","54","80  >  22 [FIN] Seq=1 Win=65535 Len=0"
"274","9.021767872","192.168.126.128","10.136.28.34","TCP","54","80  >  21 [FIN] Seq=1 Win=65535 Len=0"
"275","9.021770507","192.168.126.128","10.136.28.34","TCP","54","80  >  23 [FIN] Seq=1 Win=65535 Len=0"
