"No.","Time","Source","Destination","Protocol","Length","Info"
"614","11.849504101","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=1/256, ttl=64 (reply in 615)"
"615","11.850582119","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=1/256, ttl=128 (request in 614)"
"638","12.851144262","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=2/512, ttl=64 (reply in 639)"
"639","12.852349162","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=2/512, ttl=128 (request in 638)"
"653","13.853295047","192.168.126.128","10.136.28.34","ICMP","118","Echo (ping) request  id=0x0050, seq=3/768, ttl=64 (reply in 654)"
"654","13.854763507","10.136.28.34","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=3/768, ttl=128 (request in 653)"
"655","13.855231324","192.168.126.128","10.136.28.34","UDP","42","80  >  110 Len=0"
"680","18.855447625","192.168.126.128","10.136.28.34","UDP","42","80  >  111 Len=0"
"701","23.855644228","192.168.126.128","10.136.28.34","UDP","42","80  >  112 Len=0"
