"No.","Time","Source","Destination","Protocol","Length","Info"
"108","2.987083474","192.168.126.128","192.168.18.7","TCP","74","36564  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068402 TSecr=0 WS=128"
"109","2.987125322","192.168.126.128","192.168.18.7","TCP","74","57910  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068402 TSecr=0 WS=128"
"110","2.987166750","192.168.126.128","192.168.18.7","TCP","74","53664  >  995 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068402 TSecr=0 WS=128"
"111","2.987208158","192.168.126.128","192.168.18.7","TCP","74","38668  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068402 TSecr=0 WS=128"
"112","3.088072184","192.168.126.128","192.168.18.7","TCP","74","49698  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068503 TSecr=0 WS=128"
"113","3.088147676","192.168.126.128","192.168.18.7","TCP","74","50906  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068503 TSecr=0 WS=128"
"114","3.088189755","192.168.126.128","192.168.18.7","TCP","74","52588  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068503 TSecr=0 WS=128"
"115","3.088233888","192.168.126.128","192.168.18.7","TCP","74","45370  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068503 TSecr=0 WS=128"
"116","3.088276218","192.168.126.128","192.168.18.7","TCP","74","48700  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068503 TSecr=0 WS=128"
"117","3.088318086","192.168.126.128","192.168.18.7","TCP","74","59620  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068503 TSecr=0 WS=128"
"118","3.088359624","192.168.126.128","192.168.18.7","TCP","74","53520  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068503 TSecr=0 WS=128"
"119","3.088408616","192.168.126.128","192.168.18.7","TCP","74","52006  >  143 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2526068503 TSecr=0 WS=128"
