"No.","Time","Source","Destination","Protocol","Length","Info"
"398","17.156982668","192.168.126.128","192.168.18.7","ICMP","118","Echo (ping) request  id=0x0050, seq=1/256, ttl=64 (reply in 399)"
"399","17.158604883","192.168.18.7","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=1/256, ttl=128 (request in 398)"
"419","18.159558022","192.168.126.128","192.168.18.7","ICMP","118","Echo (ping) request  id=0x0050, seq=2/512, ttl=64 (reply in 420)"
"420","18.160410482","192.168.18.7","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=2/512, ttl=128 (request in 419)"
"437","19.160969509","192.168.126.128","192.168.18.7","ICMP","118","Echo (ping) request  id=0x0050, seq=3/768, ttl=64 (reply in 438)"
"438","19.161774721","192.168.18.7","192.168.126.128","ICMP","118","Echo (ping) reply    id=0x0050, seq=3/768, ttl=128 (request in 437)"
"439","19.162408651","192.168.126.128","192.168.18.7","TCP","54","80  >  21 [FIN] Seq=1 Win=65535 Len=0"
"440","19.162471339","192.168.126.128","192.168.18.7","TCP","54","80  >  22 [FIN] Seq=1 Win=65535 Len=0"
"441","19.162876740","192.168.126.128","192.168.18.7","TCP","54","80  >  23 [FIN] Seq=1 Win=65535 Len=0"
